address,type_object,type_permit,number_permit,date_permit,latitude_1,longitude_1,latitude_2,longitude_2
"ул. Калинина, 48а","индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-50",14.12.2016,47.2183973383755,39.6546544423502,"421423,1615","2199469,625"
"ул. 6-я Кольцевая, 49","Одноквартирный жилой дом, этажностью - три","На строительство",RU61310000-9,02.03.2015,47.2186060205366,39.6543401487253,"421446,7667","2199446,215"
"ул. 2-я Кольцевая, 86","индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-35",19.10.2016,47.2175908427979,39.6588296471009,"421328,1249","2199784,35"
"2-я Баррикадная ул. 42","индивидуальный одновкартирный жилой дом","На строительство",RU61310000-14,20.03.2017,47.214238036329,39.6708278738746,"420940,0286","2200686,889"
"ул. Товарищеская, 34","одноквартирный жилой дом с количеством этажей - один","На строительство",RU61310002-44,30.10.2014,47.2130486036218,39.6711825139642,"420807,3443","2200711,529"
"ул. Спартаковская, 26/61","одноквартирный жилой дом этажностью - три","На строительство",RU61310000-14,19.03.2015,47.2114526497709,39.6733669169897,"420627,1378","2200874,023"
"ул. Великолукская, 12","одноквартирный жилой дом с количеством этажей - два","На строительство",RU61310002-6,19.02.2015,47.2154288110983,39.6671595932161,"421077,0902","2200411,249"
"ул. 2-я Кольцевая, 21","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-40,03.11.2016,47.2168610044694,39.6683657395494,"421234,771","2200505,296"
"пер. Радиальный, 13а","Индивидуальный, одноквартирный, трехэтажный жилой дом","На строительство","RU 61310000-24",12.08.2016,47.2168013249477,39.67241803526,"421222,972","2200812,13"
"ул. 2-я Кольцевая, 4а","одноквартирный жилой дом с количеством этажей-два","На строительство",RU61310002-43,08.10.2014,47.2152773746089,39.6715274650747,"421054,6837","2200741,825"
"ул. Ленинградская, 13","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-87,02.12.2015,47.2126571643217,39.676563615909,"420756,9873","2201118,428"
